Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
102.1,79.6,1.28,133.5,21.9,8789,88,5.7,9I
91.1,82,1.11,116.3,18.1,6804,53,4.7,9I
95.4,82.3,1.16,121.7,17.1,7809,57,4.8,9I
94,71.6,1.31,121,21.1,7654,69,5.1,9I
93.6,81.6,1.15,125.7,21.4,5560,66,5.1,9I
87.1,78.9,1.1,103.9,30.2,8930,85,5.3,9I
99.2,81.3,1.22,133.6,29.3,6288,108,6.2,9I
84.6,76.5,1.11,109.1,24.4,5202,61,4.8,9I
75.6,63.8,1.19,84.7,35.5,7086,75,4.9,9I
95.2,85.1,1.12,126.4,17.2,5154,53,4.7,6I
100.4,83.2,1.21,134.8,15.5,6073,56,5,6I
104.3,84,1.24,141.8,13.4,4678,51,4.7,6I
109,88.9,1.23,154.1,13.9,4502,60,5.1,6I
113.8,86,1.32,162.5,14.7,6024,74,5.7,6I
105.1,85.6,1.23,145.7,15,4819,59,5,6I
99.4,90,1.1,137.4,18.8,4678,65,5,6I
115.1,91.5,1.26,166.9,14.6,5058,74,5.6,6I
