Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
93.4,75,1.24,117.7,22,8604,71,5.1,9I
87.9,77.7,1.13,106.5,27.3,9360,78,5.2,9I
95.7,77.5,1.24,130.5,22,5528,72,5.2,9I
94.1,83.2,1.13,121.9,20.2,7116,66,5.1,9I
91.4,82,1.12,115.2,26.9,7938,84,5.4,9I
98,81.7,1.2,129,14.6,5608,48,4.7,9I
99.1,85.6,1.16,128.1,20.5,8788,77,5.4,9I
94.8,83.8,1.13,121.6,22.9,8363,77,5.3,9I
100.5,80.6,1.25,138.8,23.2,6237,86,5.7,9I
105.1,85.2,1.23,145.5,21.7,7035,91,6,9I
120.3,87.6,1.37,184.4,15.4,3684,82,5.9,6I
116.1,85.9,1.35,175.7,17,3765,84,5.8,6I
104.3,88.5,1.18,143.5,14.8,5191,58,5,6I
115.2,87.5,1.32,167.1,14.7,5102,76,5.6,6I
104.1,89.4,1.17,142.7,14.6,5266,56,4.9,6I
85.4,87.1,0.98,104.8,16.8,5670,39,4.1,6I
111.6,85.3,1.31,159.2,14.6,5172,69,5.4,6I
115.2,85.2,1.35,168.2,15.4,4903,78,5.7,6I
