Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
64.2,73.7,0.87,69,31.2,6114,45,3.8,9I
89.7,76,1.18,108.4,29.4,9356,88,5.4,9I
101.4,84.7,1.2,133.5,28.1,7340,110,6.2,9I
97,80.6,1.2,128.9,27.1,6980,95,5.9,9I
94,81.4,1.16,124.5,19,6036,60,5,9I
94.4,83.1,1.14,118.2,25,9218,83,5.4,9I
56.4,82.2,0.69,55.6,33.7,6946,38,3.4,9I
89.6,84,1.07,110.3,22.3,8789,65,4.9,9I
99.3,83.5,1.19,137.7,25.1,5528,91,5.8,9I
92.2,83.8,1.1,119.4,17.7,6339,53,4.7,9I
112.6,81.2,1.39,162.1,17.4,5768,85,5.9,6I
112.3,88.9,1.26,161.9,16.5,5315,79,5.7,6I
105.1,84.8,1.24,145.4,14.5,4673,57,4.9,6I
114.4,85.8,1.33,171.3,18.5,4111,90,5.9,6I
111.9,86.3,1.3,161.1,16.7,5383,79,5.7,6I
108.3,83.9,1.29,156.9,18.7,4504,81,5.6,6I
115.1,81.7,1.41,172,18.4,4252,92,6,6I
95,84.4,1.13,123.5,15.3,4961,45,4.4,6I
