Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
111.3,84.7,1.31,155.2,12.7,6137,60,5.3,6I
114,80.1,1.42,163.1,13.7,5226,68,5.4,6I
106.6,88,1.21,144.3,12,5912,50,4.9,6I
111.2,80.7,1.38,164.1,19.1,4252,88,5.8,6I
110.8,86.9,1.27,154.4,13.9,6807,66,5.5,6I
115.7,89,1.3,164.2,12.5,6042,66,5.5,6I
115.5,89.5,1.29,168,19.2,5652,99,6.2,6I
118.5,84.5,1.4,169.9,12.1,5852,69,5.6,6I
120,88.3,1.36,173.1,12.2,5729,72,5.7,6I
92.9,85.7,1.08,118.2,14.8,3587,40,4.1,6I
112.2,85.7,1.31,158.2,13.4,5815,65,5.4,6I
83.3,86.7,0.96,97.5,15.5,4252,31,3.6,6I
116.8,89.2,1.31,166.9,12.6,5953,69,5.6,6I
109.1,90,1.21,152.3,13.2,4915,57,5,6I
116.2,88.7,1.31,166.1,13.5,6236,73,5.7,6I
112.1,88.9,1.26,156.8,12.9,6499,63,5.4,6I
114.2,89.8,1.27,161.5,12.8,6090,65,5.4,6I
115.4,90.4,1.28,169.5,13.4,3969,66,5.4,6I
111.5,90.5,1.23,155.3,12.6,6513,61,5.3,6I
119,90.5,1.32,170.9,12.2,5807,70,5.6,6I
81.5,91.7,0.89,90.7,13.2,5868,25,3.4,6I
115.6,88.9,1.3,167.8,19.1,5815,99,6.3,6I
117.1,91,1.29,170.8,12.9,4592,68,5.5,6I
115.1,90.8,1.27,163.8,13.3,6094,69,5.6,6I
121,89.9,1.35,174.7,12.7,6379,78,5.9,6I
