Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
113.5,85.7,1.33,161.7,19.1,6730,96,6.2,6I
122.4,86,1.42,177.9,12.1,5730,76,5.8,6I
113.8,86.5,1.32,160.8,13,6000,65,5.4,6I
122.5,85.3,1.44,181.1,12.3,4774,74,5.7,6I
122.1,85.4,1.43,186.6,19.2,4252,110,6.5,6I
120.9,89.4,1.35,179.7,12.8,4404,73,5.7,6I
123.1,85.5,1.44,182.7,12.6,4806,77,5.8,6I
116.6,86.4,1.35,166.6,12.8,5949,70,5.6,6I
123.9,87.8,1.41,181.6,19.1,6045,117,6.8,6I
123.9,85.9,1.44,181.9,19,5993,117,6.8,6I
105.4,85.7,1.23,148.7,14.9,3703,57,4.9,6I
109.2,92.8,1.18,153.5,12.9,4291,55,4.9,6I
125.4,84.7,1.48,186.1,19.2,5528,120,6.8,6I
