Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
135.3,92.2,1.47,209.5,11.8,4427,90,6.4,3W
140.9,93,1.52,221.2,11.7,4413,99,6.7,3W
133,95,1.4,206.6,14.7,4434,105,6.6,3W
130.8,92.7,1.41,206.9,11.1,2629,64,5.6,3W
139.5,92.4,1.51,219.6,11.6,4192,94,6.5,3W
139.9,91.6,1.53,228.7,11.1,2396,74,6,3W
128.3,95.3,1.35,209.3,16.9,2835,98,6.4,3W
133,96.9,1.37,220.6,17,2749,107,6.7,3W
89.6,93.6,0.96,106.8,13.2,3446,30,3.6,3W
138.3,93.4,1.48,231.1,16.1,2835,111,6.8,3W
