Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
146.4,101.5,1.44,236.7,10,3562,87,6.5,Driver
143.7,102.6,1.4,242.7,14.5,2622,106,6.8,Driver
150,104.1,1.44,246.7,9.9,3153,86,6.6,Driver
148.5,107.4,1.38,245.3,9.9,2643,79,6.3,Driver
150.7,103.3,1.46,255.4,12.5,2465,101,6.8,Driver
143,104.4,1.37,231.9,10,2099,68,5.8,Driver
151.3,103.7,1.46,250.3,9.9,2027,77,6.2,Driver
148.3,105.9,1.4,250.4,12.5,2409,96,6.7,Driver
134.9,103.1,1.31,218.9,12.1,2693,76,6,Driver
149.3,103.3,1.45,244.7,10,3260,87,6.6,Driver
147.7,101.9,1.45,246.7,13.1,3118,107,7,Driver
147.5,104,1.42,243.1,10,2592,77,6.3,Driver
150.2,102.8,1.46,249.7,12.1,3240,104,7,Driver
150,103.3,1.45,257,14.4,2113,112,7,Driver
144.4,103.5,1.4,237.2,12.2,3305,97,6.7,Driver
150.4,101.5,1.48,254.3,15.2,2998,126,7.4,Driver
152.4,103.1,1.48,258.7,12.5,1878,99,6.7,Driver
151.8,106.6,1.42,249.9,12.2,3624,112,7.2,Driver
153.7,106,1.45,255.5,9.9,2976,89,6.7,Driver
152.9,106.7,1.43,254.4,9.9,2086,81,6.3,Driver
154.5,105.6,1.46,253.3,9.8,3543,97,6.9,Driver
151.8,106.4,1.43,252.1,9.7,2551,81,6.4,Driver
151.2,106.7,1.42,249.2,9.7,3109,86,6.6,Driver
